adjustment_window_k,hash_rate,difficulty
107,298000000000000.0,1000992.7725420968
108,298000000000000.0,1000992.7725420968
109,298000000000000.0,1000992.7725420968
110,298000000000000.0,1000992.7725420968
111,298000000000000.0,1000992.7725420968
112,298000000000000.0,1000992.7725420968
113,298000000000000.0,1000992.7725420968
114,298000000000000.0,1000992.7725420968
115,298000000000000.0,1000992.7725420968
116,298000000000000.0,1000992.7725420968
117,298000000000000.0,1000992.7725420968
118,298000000000000.0,1000992.7725420968
119,298000000000000.0,1000992.7725420968
120,298000000000000.0,1000992.7725420968
121,298000000000000.0,1000992.7725420968
122,298000000000000.0,1000992.7725420968
123,298000000000000.0,1000992.7725420968
124,298000000000000.0,1000992.7725420968
125,298000000000000.0,1000992.7725420968
126,298000000000000.0,1000992.7725420968
127,298000000000000.0,1000992.7725420968
128,298000000000000.0,1000992.7725420968
129,298000000000000.0,1000992.7725420968
130,298000000000000.0,1000992.7725420968
131,298000000000000.0,1000992.7725420968
132,298000000000000.0,1000992.7725420968
133,298000000000000.0,1000992.7725420968
134,298000000000000.0,1000992.7725420968
135,298000000000000.0,1000992.7725420968
136,298000000000000.0,1000992.7725420968
137,298000000000000.0,1000992.7725420968
138,298000000000000.0,1000992.7725420968
139,298000000000000.0,1000992.7725420968
140,298000000000000.0,1000992.7725420968
141,298000000000000.0,1000992.7725420968
142,298000000000000.0,1000992.7725420968
143,298000000000000.0,1000992.7725420968
144,298000000000000.0,1000992.7725420968
145,298000000000000.0,1000992.7725420968
146,298000000000000.0,1000992.7725420968
147,298000000000000.0,1000992.7725420968
148,298000000000000.0,1000992.7725420968
149,298000000000000.0,1000992.7725420968
150,298000000000000.0,1000992.7725420968
151,298000000000000.0,1000992.7725420968
152,298000000000000.0,1000992.7725420968
153,298000000000000.0,1000992.7725420968
154,298000000000000.0,1000992.7725420968
155,298000000000000.0,1000992.7725420968
156,298000000000000.0,1000992.7725420968
157,298000000000000.0,1000992.7725420968
158,298000000000000.0,1000992.7725420968
159,298000000000000.0,1000992.7725420968
160,298000000000000.0,1000992.7725420968
161,298000000000000.0,1000992.7725420968
162,298000000000000.0,1000992.7725420968
163,298000000000000.0,1000992.7725420968
164,298000000000000.0,1000992.7725420968
165,298000000000000.0,1000992.7725420968
166,298000000000000.0,1000992.7725420968
167,298000000000000.0,1000992.7725420968
168,298000000000000.0,1000992.7725420968
169,298000000000000.0,1000992.7725420968
170,298000000000000.0,1000992.7725420968
171,298000000000000.0,1000992.7725420968
172,298000000000000.0,1000992.7725420968
173,298000000000000.0,1000992.7725420968
174,298000000000000.0,1000992.7725420968
175,298000000000000.0,1000992.7725420968
176,298000000000000.0,1000992.7725420968
177,298000000000000.0,1000992.7725420968
178,298000000000000.0,1000992.7725420968
179,298000000000000.0,1000992.7725420968
180,298000000000000.0,1000992.7725420968
181,298000000000000.0,1000992.7725420968
182,298000000000000.0,1000992.7725420968
183,298000000000000.0,1000992.7725420968
184,298000000000000.0,1000992.7725420968
185,298000000000000.0,1000992.7725420968
186,298000000000000.0,1000992.7725420968
187,298000000000000.0,1000992.7725420968
188,298000000000000.0,1000992.7725420968
189,298000000000000.0,1000992.7725420968
190,298000000000000.0,1000992.7725420968
191,298000000000000.0,1000992.7725420968
192,298000000000000.0,1000992.7725420968
193,298000000000000.0,1000992.7725420968
194,298000000000000.0,1000992.7725420968
195,298000000000000.0,1000992.7725420968
196,298000000000000.0,1000992.7725420968
197,298000000000000.0,1000992.7725420968
198,298000000000000.0,1000992.7725420968
199,298000000000000.0,1000992.7725420968
200,298000000000000.0,1000992.7725420968
201,298000000000000.0,1000992.7725420968
202,298000000000000.0,1000992.7725420968
203,298000000000000.0,1000992.7725420968
204,298000000000000.0,1000992.7725420968
205,298000000000000.0,1000992.7725420968
206,298000000000000.0,1000992.7725420968
207,298000000000000.0,1000992.7725420968
208,298000000000000.0,1000992.7725420968
209,298000000000000.0,1000992.7725420968
210,298000000000000.0,1000992.7725420968
211,298000000000000.0,1000992.7725420968
212,298000000000000.0,1000992.7725420968
213,298000000000000.0,1000992.7725420968
214,298000000000000.0,1000992.7725420968
215,298000000000000.0,1000992.7725420968
216,298000000000000.0,1000992.7725420968
217,298000000000000.0,1000992.7725420968
218,298000000000000.0,1000992.7725420968
219,298000000000000.0,1000992.7725420968
220,298000000000000.0,1000992.7725420968
221,298000000000000.0,1000992.7725420968
222,298000000000000.0,1000992.7725420968
223,298000000000000.0,1000992.7725420968
224,298000000000000.0,1000992.7725420968
225,298000000000000.0,1000992.7725420968
226,298000000000000.0,1000992.7725420968
227,298000000000000.0,1000992.7725420968
228,298000000000000.0,1000992.7725420968
229,298000000000000.0,1000992.7725420968
230,298000000000000.0,1000992.7725420968
231,298000000000000.0,1000992.7725420968
232,298000000000000.0,1000992.7725420968
233,298000000000000.0,1000992.7725420968
234,298000000000000.0,1000992.7725420968
235,298000000000000.0,1000992.7725420968
236,298000000000000.0,1000992.7725420968
237,298000000000000.0,1000992.7725420968
238,298000000000000.0,1000992.7725420968
239,298000000000000.0,1000992.7725420968
240,298000000000000.0,1000992.7725420968
241,298000000000000.0,1000992.7725420968
242,298000000000000.0,1000992.7725420968
243,298000000000000.0,1000992.7725420968
244,298000000000000.0,1000992.7725420968
245,298000000000000.0,1000992.7725420968
246,298000000000000.0,1000992.7725420968
247,298000000000000.0,1000992.7725420968
248,298000000000000.0,1000992.7725420968
249,298000000000000.0,1000992.7725420968
250,298000000000000.0,1000992.7725420968
251,298000000000000.0,1000992.7725420968
252,298000000000000.0,1000992.7725420968
253,298000000000000.0,1000992.7725420968
254,298000000000000.0,1000992.7725420968
255,298000000000000.0,1000992.7725420968
256,298000000000000.0,1000992.7725420968
257,298000000000000.0,1000992.7725420968
258,298000000000000.0,1000992.7725420968
259,298000000000000.0,1000992.7725420968
260,298000000000000.0,1000992.7725420968
261,298000000000000.0,1000992.7725420968
262,298000000000000.0,1000992.7725420968
263,298000000000000.0,1000992.7725420968
264,298000000000000.0,1000992.7725420968
265,298000000000000.0,1000992.7725420968
266,298000000000000.0,1000992.7725420968
267,298000000000000.0,1000992.7725420968
268,298000000000000.0,1000992.7725420968
269,298000000000000.0,1000992.7725420968
270,298000000000000.0,1000992.7725420968
271,298000000000000.0,1000992.7725420968
272,298000000000000.0,1000992.7725420968
273,298000000000000.0,1000992.7725420968
274,298000000000000.0,1000992.7725420968
275,298000000000000.0,1000992.7725420968
276,298000000000000.0,1000992.7725420968
277,298000000000000.0,1000992.7725420968
278,298000000000000.0,1000992.7725420968
279,298000000000000.0,1000992.7725420968
280,298000000000000.0,1000992.7725420968
281,298000000000000.0,1000992.7725420968
282,298000000000000.0,1000992.7725420968
283,298000000000000.0,1000992.7725420968
284,298000000000000.0,1000992.7725420968
285,298000000000000.0,1000992.7725420968
286,298000000000000.0,1000992.7725420968
287,298000000000000.0,1000992.7725420968
288,298000000000000.0,1000992.7725420968
289,298000000000000.0,1000992.7725420968
290,298000000000000.0,1000992.7725420968
291,298000000000000.0,1000992.7725420968
292,298000000000000.0,1000992.7725420968
293,298000000000000.0,1000992.7725420968
294,298000000000000.0,1000992.7725420968
295,298000000000000.0,1000992.7725420968
296,298000000000000.0,1000992.7725420968
297,298000000000000.0,1000992.7725420968
298,298000000000000.0,1000992.7725420968
299,298000000000000.0,1000992.7725420968
300,298000000000000.0,1000992.7725420968
301,298000000000000.0,1000992.7725420968
302,298000000000000.0,1000992.7725420968
303,298000000000000.0,1000992.7725420968
304,298000000000000.0,1000992.7725420968
305,298000000000000.0,1000992.7725420968
306,298000000000000.0,1000992.7725420968
307,298000000000000.0,1000992.7725420968
308,298000000000000.0,1000992.7725420968
309,298000000000000.0,1000992.7725420968
310,298000000000000.0,1000992.7725420968
311,298000000000000.0,1000992.7725420968
312,298000000000000.0,1000992.7725420968
313,298000000000000.0,1000992.7725420968
314,298000000000000.0,1000992.7725420968
315,298000000000000.0,1000992.7725420968
316,298000000000000.0,1000992.7725420968
317,298000000000000.0,1000992.7725420968
318,298000000000000.0,1000992.7725420968
319,298000000000000.0,1000992.7725420968
320,298000000000000.0,1000992.7725420968
321,298000000000000.0,1000992.7725420968
322,298000000000000.0,1000992.7725420968
323,298000000000000.0,1000992.7725420968
324,298000000000000.0,1000992.7725420968
325,298000000000000.0,1000992.7725420968
326,298000000000000.0,1000992.7725420968
327,298000000000000.0,1000992.7725420968
328,298000000000000.0,1000992.7725420968
329,298000000000000.0,1000992.7725420968
330,298000000000000.0,1000992.7725420968
331,298000000000000.0,1000992.7725420968
332,298000000000000.0,1000992.7725420968
333,298000000000000.0,1000992.7725420968
334,298000000000000.0,1000992.7725420968
335,298000000000000.0,1000992.7725420968
336,298000000000000.0,1000992.7725420968
337,298000000000000.0,1000992.7725420968
338,298000000000000.0,1000992.7725420968
339,298000000000000.0,1000992.7725420968
340,298000000000000.0,1000992.7725420968
341,298000000000000.0,1000992.7725420968
342,298000000000000.0,1000992.7725420968
343,298000000000000.0,1000992.7725420968
344,298000000000000.0,1000992.7725420968
345,298000000000000.0,1000992.7725420968
346,298000000000000.0,1000992.7725420968
347,298000000000000.0,1000992.7725420968
348,298000000000000.0,1000992.7725420968
349,298000000000000.0,1000992.7725420968
350,298000000000000.0,1000992.7725420968
351,298000000000000.0,1000992.7725420968
352,298000000000000.0,1000992.7725420968
353,298000000000000.0,1000992.7725420968
354,298000000000000.0,1000992.7725420968
355,298000000000000.0,1000992.7725420968
356,298000000000000.0,1000992.7725420968
357,298000000000000.0,1000992.7725420968
358,298000000000000.0,1000992.7725420968
359,298000000000000.0,1000992.7725420968
360,298000000000000.0,1000992.7725420968
361,298000000000000.0,1000992.7725420968
362,298000000000000.0,1000992.7725420968
363,298000000000000.0,1000992.7725420968
364,298000000000000.0,1000992.7725420968
365,298000000000000.0,1000992.7725420968
366,298000000000000.0,1000992.7725420968
367,298000000000000.0,1000992.7725420968
368,298000000000000.0,1000992.7725420968
369,298000000000000.0,1000992.7725420968
370,298000000000000.0,1000992.7725420968
371,298000000000000.0,1000992.7725420968
372,298000000000000.0,1000992.7725420968
373,298000000000000.0,1000992.7725420968
374,298000000000000.0,1000992.7725420968
375,298000000000000.0,1000992.7725420968
376,298000000000000.0,1000992.7725420968
377,298000000000000.0,1000992.7725420968
378,298000000000000.0,1000992.7725420968
379,298000000000000.0,1000992.7725420968
380,298000000000000.0,1000992.7725420968
381,298000000000000.0,1000992.7725420968
382,298000000000000.0,1000992.7725420968
383,298000000000000.0,1000992.7725420968
384,298000000000000.0,1000992.7725420968
385,298000000000000.0,1000992.7725420968
386,298000000000000.0,1000992.7725420968
387,298000000000000.0,1000992.7725420968
388,298000000000000.0,1000992.7725420968
389,298000000000000.0,1000992.7725420968
390,298000000000000.0,1000992.7725420968
391,298000000000000.0,1000992.7725420968
392,298000000000000.0,1000992.7725420968
393,298000000000000.0,1000992.7725420968
394,298000000000000.0,1000992.7725420968
395,298000000000000.0,1000992.7725420968
396,298000000000000.0,1000992.7725420968
397,298000000000000.0,1000992.7725420968
398,298000000000000.0,1000992.7725420968
399,298000000000000.0,1000992.7725420968
400,298000000000000.0,1000992.7725420968
401,298000000000000.0,1000992.7725420968
402,298000000000000.0,1000992.7725420968
403,298000000000000.0,1000992.7725420968
404,298000000000000.0,1000992.7725420968
405,298000000000000.0,1000992.7725420968
406,298000000000000.0,1000992.7725420968
407,298000000000000.0,1000992.7725420968
408,298000000000000.0,1000992.7725420968
409,298000000000000.0,1000992.7725420968
410,298000000000000.0,1000992.7725420968
411,298000000000000.0,1000992.7725420968
412,298000000000000.0,1000992.7725420968
413,298000000000000.0,1000992.7725420968
414,298000000000000.0,1000992.7725420968
415,298000000000000.0,1000992.7725420968
416,298000000000000.0,1000992.7725420968
417,298000000000000.0,1000992.7725420968
418,298000000000000.0,1000992.7725420968
419,298000000000000.0,1000992.7725420968
420,298000000000000.0,1000992.7725420968
421,298000000000000.0,1000992.7725420968
422,298000000000000.0,1000992.7725420968
423,298000000000000.0,1000992.7725420968
424,298000000000000.0,1000992.7725420968
425,298000000000000.0,1000992.7725420968
426,298000000000000.0,1000992.7725420968
427,298000000000000.0,1000992.7725420968
428,298000000000000.0,1000992.7725420968
429,298000000000000.0,1000992.7725420968
430,298000000000000.0,1000992.7725420968
431,298000000000000.0,1000992.7725420968
432,298000000000000.0,1000992.7725420968
433,298000000000000.0,1000992.7725420968
434,298000000000000.0,1000992.7725420968
435,298000000000000.0,1000992.7725420968
436,298000000000000.0,1000992.7725420968
437,298000000000000.0,1000992.7725420968
438,298000000000000.0,1000992.7725420968
439,298000000000000.0,1000992.7725420968
440,298000000000000.0,1000992.7725420968
441,298000000000000.0,1000992.7725420968
442,298000000000000.0,1000992.7725420968
443,298000000000000.0,1000992.7725420968
444,298000000000000.0,1000992.7725420968
445,298000000000000.0,1000992.7725420968
446,298000000000000.0,1000992.7725420968
447,298000000000000.0,1000992.7725420968
448,298000000000000.0,1000992.7725420968
449,298000000000000.0,1000992.7725420968
450,298000000000000.0,1000992.7725420968
451,298000000000000.0,1000992.7725420968
452,298000000000000.0,1000992.7725420968
453,298000000000000.0,1000992.7725420968
454,298000000000000.0,1000992.7725420968
455,298000000000000.0,1000992.7725420968
456,298000000000000.0,1000992.7725420968
457,298000000000000.0,1000992.7725420968
458,298000000000000.0,1000992.7725420968
459,298000000000000.0,1000992.7725420968
460,298000000000000.0,1000992.7725420968
461,298000000000000.0,1000992.7725420968
462,298000000000000.0,1000992.7725420968
463,298000000000000.0,1000992.7725420968
464,298000000000000.0,1000992.7725420968
465,298000000000000.0,1000992.7725420968
466,298000000000000.0,1000992.7725420968
467,298000000000000.0,1000992.7725420968
468,298000000000000.0,1000992.7725420968
469,298000000000000.0,1000992.7725420968
470,298000000000000.0,1000992.7725420968
471,298000000000000.0,1000992.7725420968
472,298000000000000.0,1000992.7725420968
473,298000000000000.0,1000992.7725420968
474,298000000000000.0,1000992.7725420968
475,298000000000000.0,1000992.7725420968
476,298000000000000.0,1000992.7725420968
477,298000000000000.0,1000992.7725420968
478,298000000000000.0,1000992.7725420968
479,298000000000000.0,1000992.7725420968
480,298000000000000.0,1000992.7725420968
481,298000000000000.0,1000992.7725420968
482,298000000000000.0,1000992.7725420968
483,298000000000000.0,1000992.7725420968
484,298000000000000.0,1000992.7725420968
485,298000000000000.0,1000992.7725420968
486,298000000000000.0,1000992.7725420968
487,298000000000000.0,1000992.7725420968
488,298000000000000.0,1000992.7725420968
489,298000000000000.0,1000992.7725420968
490,298000000000000.0,1000992.7725420968
491,298000000000000.0,1000992.7725420968
492,298000000000000.0,1000992.7725420968
493,298000000000000.0,1000992.7725420968
494,298000000000000.0,1000992.7725420968
495,298000000000000.0,1000992.7725420968
496,298000000000000.0,1000992.7725420968
497,298000000000000.0,1000992.7725420968
498,298000000000000.0,1000992.7725420968
499,298000000000000.0,1000992.7725420968
500,298000000000000.0,1000992.7725420968
501,298000000000000.0,1000992.7725420968
502,298000000000000.0,1000992.7725420968
503,298000000000000.0,1000992.7725420968
504,298000000000000.0,1000992.7725420968
505,298000000000000.0,1000992.7725420968
506,298000000000000.0,1000992.7725420968
507,298000000000000.0,1000992.7725420968
508,298000000000000.0,1000992.7725420968
509,298000000000000.0,1000992.7725420968
510,298000000000000.0,1000992.7725420968
511,298000000000000.0,1000992.7725420968
512,298000000000000.0,1000992.7725420968
513,298000000000000.0,1000992.7725420968
514,298000000000000.0,1000992.7725420968
515,298000000000000.0,1000992.7725420968
516,298000000000000.0,1000992.7725420968
517,298000000000000.0,1000992.7725420968
518,298000000000000.0,1000992.7725420968
519,298000000000000.0,1000992.7725420968
520,298000000000000.0,1000992.7725420968
521,298000000000000.0,1000992.7725420968
522,298000000000000.0,1000992.7725420968
523,298000000000000.0,1000992.7725420968
524,298000000000000.0,1000992.7725420968
525,298000000000000.0,1000992.7725420968
526,298000000000000.0,1000992.7725420968
527,298000000000000.0,1000992.7725420968
528,298000000000000.0,1000992.7725420968
529,298000000000000.0,1000992.7725420968
530,298000000000000.0,1000992.7725420968
531,298000000000000.0,1000992.7725420968
532,298000000000000.0,1000992.7725420968
533,298000000000000.0,1000992.7725420968
534,298000000000000.0,1000992.7725420968
535,298000000000000.0,1000992.7725420968
536,298000000000000.0,1000992.7725420968
537,298000000000000.0,1000992.7725420968
538,298000000000000.0,1000992.7725420968
539,298000000000000.0,1000992.7725420968
540,298000000000000.0,1000992.7725420968
541,298000000000000.0,1000992.7725420968
542,298000000000000.0,1000992.7725420968
543,298000000000000.0,1000992.7725420968
544,298000000000000.0,1000992.7725420968
545,298000000000000.0,1000992.7725420968
546,298000000000000.0,1000992.7725420968
547,298000000000000.0,1000992.7725420968
548,298000000000000.0,1000992.7725420968
549,298000000000000.0,1000992.7725420968
550,298000000000000.0,1000992.7725420968
551,298000000000000.0,1000992.7725420968
552,298000000000000.0,1000992.7725420968
553,298000000000000.0,1000992.7725420968
554,298000000000000.0,1000992.7725420968
555,298000000000000.0,1000992.7725420968
556,298000000000000.0,1000992.7725420968
557,298000000000000.0,1000992.7725420968
558,298000000000000.0,1000992.7725420968
559,298000000000000.0,1000992.7725420968
560,298000000000000.0,1000992.7725420968
561,298000000000000.0,1000992.7725420968
562,298000000000000.0,1000992.7725420968
563,298000000000000.0,1000992.7725420968
564,298000000000000.0,1000992.7725420968
565,298000000000000.0,1000992.7725420968
566,298000000000000.0,1000992.7725420968
567,298000000000000.0,1000992.7725420968
568,298000000000000.0,1000992.7725420968
569,298000000000000.0,1000992.7725420968
570,298000000000000.0,1000992.7725420968
571,298000000000000.0,1000992.7725420968
572,298000000000000.0,1000992.7725420968
573,298000000000000.0,1000992.7725420968
574,298000000000000.0,1000992.7725420968
575,298000000000000.0,1000992.7725420968
576,298000000000000.0,1000992.7725420968
577,298000000000000.0,1000992.7725420968
578,298000000000000.0,1000992.7725420968
579,298000000000000.0,1000992.7725420968
580,298000000000000.0,1000992.7725420968
581,298000000000000.0,1000992.7725420968
582,298000000000000.0,1000992.7725420968
583,298000000000000.0,1000992.7725420968
584,298000000000000.0,1000992.7725420968
585,298000000000000.0,1000992.7725420968
586,298000000000000.0,1000992.7725420968
587,298000000000000.0,1000992.7725420968
588,298000000000000.0,1000992.7725420968
589,298000000000000.0,1000992.7725420968
590,298000000000000.0,1000992.7725420968
591,298000000000000.0,1000992.7725420968
592,298000000000000.0,1000992.7725420968
593,298000000000000.0,1000992.7725420968
594,298000000000000.0,1000992.7725420968
595,298000000000000.0,1000992.7725420968
596,298000000000000.0,1000992.7725420968
597,298000000000000.0,1000992.7725420968
598,298000000000000.0,1000992.7725420968
599,298000000000000.0,1000992.7725420968
600,298000000000000.0,1000992.7725420968
601,298000000000000.0,1000992.7725420968
602,298000000000000.0,1000992.7725420968
603,298000000000000.0,1000992.7725420968
604,298000000000000.0,1000992.7725420968
605,298000000000000.0,1000992.7725420968
606,298000000000000.0,1000992.7725420968
607,298000000000000.0,1000992.7725420968
608,298000000000000.0,1000992.7725420968
609,298000000000000.0,1000992.7725420968
610,298000000000000.0,1000992.7725420968
611,298000000000000.0,1000992.7725420968
612,298000000000000.0,1000992.7725420968
613,298000000000000.0,1000992.7725420968
614,298000000000000.0,1000992.7725420968
615,298000000000000.0,1000992.7725420968
616,298000000000000.0,1000992.7725420968
617,298000000000000.0,1000992.7725420968
618,298000000000000.0,1000992.7725420968
619,298000000000000.0,1000992.7725420968
620,298000000000000.0,1000992.7725420968
621,298000000000000.0,1000992.7725420968
622,298000000000000.0,1000992.7725420968
623,298000000000000.0,1000992.7725420968
624,298000000000000.0,1000992.7725420968
625,298000000000000.0,1000992.7725420968
626,298000000000000.0,1000992.7725420968
627,298000000000000.0,1000992.7725420968
628,298000000000000.0,1000992.7725420968
629,298000000000000.0,1000992.7725420968
630,298000000000000.0,1000992.7725420968
631,298000000000000.0,1000992.7725420968
632,298000000000000.0,1000992.7725420968
633,298000000000000.0,1000992.7725420968
634,298000000000000.0,1000992.7725420968
635,298000000000000.0,1000992.7725420968
636,298000000000000.0,1000992.7725420968
637,298000000000000.0,1000992.7725420968
638,298000000000000.0,1000992.7725420968
639,298000000000000.0,1000992.7725420968
640,298000000000000.0,1000992.7725420968
641,298000000000000.0,1000992.7725420968
642,298000000000000.0,1000992.7725420968
643,298000000000000.0,1000992.7725420968
644,298000000000000.0,1000992.7725420968
645,298000000000000.0,1000992.7725420968
646,298000000000000.0,1000992.7725420968
647,298000000000000.0,1000992.7725420968
648,298000000000000.0,1000992.7725420968
649,298000000000000.0,1000992.7725420968
650,298000000000000.0,1000992.7725420968
651,298000000000000.0,1000992.7725420968
652,298000000000000.0,1000992.7725420968
653,298000000000000.0,1000992.7725420968
654,298000000000000.0,1000992.7725420968
655,298000000000000.0,1000992.7725420968
656,298000000000000.0,1000992.7725420968
657,298000000000000.0,1000992.7725420968
658,298000000000000.0,1000992.7725420968
659,298000000000000.0,1000992.7725420968
660,298000000000000.0,1000992.7725420968
661,298000000000000.0,1000992.7725420968
662,298000000000000.0,1000992.7725420968
663,298000000000000.0,1000992.7725420968
664,298000000000000.0,1000992.7725420968
665,298000000000000.0,1000992.7725420968
666,298000000000000.0,1000992.7725420968
667,298000000000000.0,1000992.7725420968
668,298000000000000.0,1000992.7725420968
669,298000000000000.0,1000992.7725420968
670,298000000000000.0,1000992.7725420968
671,298000000000000.0,1000992.7725420968
672,298000000000000.0,1000992.7725420968
673,298000000000000.0,1000992.7725420968
674,298000000000000.0,1000992.7725420968
675,298000000000000.0,1000992.7725420968
676,298000000000000.0,1000992.7725420968
677,298000000000000.0,1000992.7725420968
678,298000000000000.0,1000992.7725420968
679,298000000000000.0,1000992.7725420968
680,298000000000000.0,1000992.7725420968
681,298000000000000.0,1000992.7725420968
682,298000000000000.0,1000992.7725420968
683,298000000000000.0,1000992.7725420968
684,298000000000000.0,1000992.7725420968
685,298000000000000.0,1000992.7725420968
686,298000000000000.0,1000992.7725420968
687,298000000000000.0,1000992.7725420968
688,298000000000000.0,1000992.7725420968
689,298000000000000.0,1000992.7725420968
690,298000000000000.0,1000992.7725420968
691,298000000000000.0,1000992.7725420968
692,298000000000000.0,1000992.7725420968
693,298000000000000.0,1000992.7725420968
694,298000000000000.0,1000992.7725420968
695,298000000000000.0,1000992.7725420968
696,298000000000000.0,1000992.7725420968
697,298000000000000.0,1000992.7725420968
698,298000000000000.0,1000992.7725420968
699,298000000000000.0,1000992.7725420968
700,298000000000000.0,1000992.7725420968
701,298000000000000.0,1000992.7725420968
702,298000000000000.0,1000992.7725420968
703,298000000000000.0,1000992.7725420968
704,298000000000000.0,1000992.7725420968
705,298000000000000.0,1000992.7725420968
706,298000000000000.0,1000992.7725420968
707,298000000000000.0,1000992.7725420968
708,298000000000000.0,1000992.7725420968
709,298000000000000.0,1000992.7725420968
710,298000000000000.0,1000992.7725420968
711,298000000000000.0,1000992.7725420968
712,298000000000000.0,1000992.7725420968
713,298000000000000.0,1000992.7725420968
714,298000000000000.0,1000992.7725420968
715,298000000000000.0,1000992.7725420968
716,298000000000000.0,1000992.7725420968
717,298000000000000.0,1000992.7725420968
718,298000000000000.0,1000992.7725420968
719,298000000000000.0,1000992.7725420968
720,298000000000000.0,1000992.7725420968
721,298000000000000.0,1000992.7725420968
722,298000000000000.0,1000992.7725420968
723,298000000000000.0,1000992.7725420968
724,298000000000000.0,1000992.7725420968
725,298000000000000.0,1000992.7725420968
726,298000000000000.0,1000992.7725420968
727,298000000000000.0,1000992.7725420968
728,298000000000000.0,1000992.7725420968
729,298000000000000.0,1000992.7725420968
730,298000000000000.0,1000992.7725420968
731,298000000000000.0,1000992.7725420968
732,298000000000000.0,1000992.7725420968
733,298000000000000.0,1000992.7725420968
